IDCompLib,IDCompType,Model,HP,RatedCapacity,RatedPressure,MaxFullFlowPressure,IDControlType,UnloadPoint,MinULSumpPressure,BlowdownTime,UnloadSteps,ModulatingPressRange,PowerFLBHP,TotPackageInputPower,SpecPackagePower,NoLoadPowerFM,NoLoadPowerUL,MaxSurgePressure,MaxPressSurgeFlow,MinStonewallPressure,MinPressStonewallFlow,DesignSurgeFlow,DesignInTemp,DesignInPressure,AmpsFL,EffFL
69,1,15 hp/11 kW,15,46,175,185,4,100,15,40,2,-9999,15.80000019,13.39999962,29.20000076,-9999,25,-9999,-9999,-9999,-9999,-9999,68,14.5,20.60000038,87.5
71,1,20 hp/15 kW,20,82,100,110,1,50,15,40,2,5,21,17.5,21.29999924,65,29,-9999,-9999,-9999,-9999,-9999,68,14.5,26.70000076,89.5
72,1,20 hp/15 kW,20,86,100,100,2,50,15,40,2,20,22,18.29999924,21.29999924,65,29,-9999,-9999,-9999,-9999,-9999,68,14.5,26.70000076,89.5
73,1,20 hp/15 kW,20,86,100,100,3,40,15,40,2,16.66699982,22,18.29999924,21.29999924,57,29,-9999,-9999,-9999,-9999,-9999,68,14.5,26.70000076,89.5
74,1,20 hp/15 kW,20,82,100,110,4,100,15,40,2,-9999,21,17.5,21.29999924,-9999,29,-9999,-9999,-9999,-9999,-9999,68,14.5,26.70000076,89.5
76,1,20 hp/15 kW,20,70,125,135,1,50,15,40,2,5,21,17.5,24.89999962,65,26,-9999,-9999,-9999,-9999,-9999,68,14.5,26.70000076,89.5
77,1,20 hp/15 kW,20,74,125,125,2,50,15,40,2,20,22,18.29999924,24.89999962,65,26,-9999,-9999,-9999,-9999,-9999,68,14.5,26.70000076,89.5
78,1,20 hp/15 kW,20,74,125,125,3,40,15,40,2,16.66699982,22,18.29999924,24.89999962,57,26,-9999,-9999,-9999,-9999,-9999,68,14.5,26.70000076,89.5
79,1,20 hp/15 kW,20,70,125,135,4,100,15,40,2,-9999,21,17.5,24.89999962,-9999,26,-9999,-9999,-9999,-9999,-9999,68,14.5,26.70000076,89.5
81,1,20 hp/15 kW,20,60,150,160,1,50,15,40,2,5,21,17.5,29.10000038,65,25,-9999,-9999,-9999,-9999,-9999,68,14.5,26.70000076,89.5
82,1,20 hp/15 kW,20,63,150,150,2,50,15,40,2,20,22,18.29999924,29.10000038,65,25,-9999,-9999,-9999,-9999,-9999,68,14.5,26.70000076,89.5
83,1,20 hp/15 kW,20,63,150,150,3,40,15,40,2,16.66699982,22,18.29999924,29.10000038,57,25,-9999,-9999,-9999,-9999,-9999,68,14.5,26.70000076,89.5
84,1,20 hp/15 kW,20,60,150,160,4,100,15,40,2,-9999,21,17.5,29.10000038,-9999,25,-9999,-9999,-9999,-9999,-9999,68,14.5,26.70000076,89.5
86,1,20 hp/15 kW,20,62,175,185,1,50,15,40,2,5,21,17.5,28.10000038,65,21,-9999,-9999,-9999,-9999,-9999,68,14.5,26.70000076,89.5
87,1,20 hp/15 kW,20,65,175,175,2,50,15,40,2,20,22,18.29999924,28.10000038,65,21,-9999,-9999,-9999,-9999,-9999,68,14.5,26.70000076,89.5
88,1,20 hp/15 kW,20,65,175,175,3,40,15,40,2,16.66699982,22,18.29999924,28.10000038,57,21,-9999,-9999,-9999,-9999,-9999,68,14.5,26.70000076,89.5
89,1,20 hp/15 kW,20,62,175,185,4,100,15,40,2,-9999,21,17.5,28.10000038,-9999,21,-9999,-9999,-9999,-9999,-9999,68,14.5,26.70000076,89.5
91,1,25 hp/18.5 kW,25,102,100,110,1,50,15,40,2,5,26.29999924,21.70000076,21.29999924,65,28,-9999,-9999,-9999,-9999,-9999,68,14.5,31.20000076,90.19999695
92,1,25 hp/18.5 kW,25,107,100,100,2,50,15,40,2,20,27.5,22.70000076,21.29999924,65,28,-9999,-9999,-9999,-9999,-9999,68,14.5,31.20000076,90.19999695
93,1,25 hp/18.5 kW,25,107,100,100,3,40,15,40,2,16.66699982,27.5,22.70000076,21.29999924,57,28,-9999,-9999,-9999,-9999,-9999,68,14.5,31.20000076,90.19999695
94,1,25 hp/18.5 kW,25,102,100,110,4,100,15,40,2,-9999,26.29999924,21.70000076,21.29999924,-9999,28,-9999,-9999,-9999,-9999,-9999,68,14.5,31.20000076,90.19999695
96,1,25 hp/18.5 kW,25,100,115,125,1,50,15,40,2,5,26.29999924,21.70000076,21.70000076,65,26,-9999,-9999,-9999,-9999,-9999,68,14.5,31.20000076,90.19999695
