ZIP (character),ZIP (numeric),state,eGRID Subregion #1,eGRID Subregion #2,eGRID Subregion #3,,,,,
01062,1062,MA,NEWE,,,,,,,
01062,1062,MA,NEWE,,,,,,,
01063,1063,MA,NEWE,,,,,,,
01066,1066,MA,NEWE,,,,,,,
01068,1068,MA,NEWE,,,,,,,
01069,1069,MA,NEWE,,,,,,,
01070,1070,MA,NEWE,,,,,,,
01071,1071,MA,NEWE,,,,,,,
01071,1071,MA,NEWE,,,,,,,
01072,1072,MA,NEWE,,,,,,,
01073,1073,MA,NEWE,,,,,,,
01073,1073,MA,NEWE,,,,,,,
01074,1074,MA,NEWE,,,,,,,
01075,1075,MA,NEWE,,,,,,,
01075,1075,MA,NEWE,,,,,,,
01077,1077,MA,NEWE,,,,,,,
01077,1077,MA,NEWE,,,,,,,
01079,1079,MA,NEWE,,,,,,,
01080,1080,MA,NEWE,,,,,,,
01081,1081,MA,NEWE,,,,,,,
01082,1082,MA,NEWE,,,,,,,
01083,1083,MA,NEWE,,,,,,,
01084,1084,MA,NEWE,,,,,,,
01085,1085,MA,NEWE,,,,,,,
01085,1085,MA,NEWE,,,,,,,
01086,1086,MA,NEWE,,,,,,,
01086,1086,MA,NEWE,,,,,,,
01088,1088,MA,NEWE,,,,,,,
01089,1089,MA,NEWE,,,,,,,
01089,1089,MA,NEWE,,,,,,,
01090,1090,MA,NEWE,,,,,,,
01092,1092,MA,NEWE,,,,,,,
01093,1093,MA,NEWE,,,,,,,
01094,1094,MA,NEWE,,,,,,,
01095,1095,MA,NEWE,,,,,,,
01096,1096,MA,NEWE,,,,,,,
01097,1097,MA,NEWE,,,,,,,
01097,1097,MA,NEWE,,,,,,,
01098,1098,MA,NEWE,,,,,,,
01098,1098,MA,NEWE,,,,,,,
01101,1101,MA,NEWE,,,,,,,
01102,1102,MA,NEWE,,,,,,,
01103,1103,MA,NEWE,,,,,,,
01104,1104,MA,NEWE,,,,,,,
01104,1104,MA,NEWE,,,,,,,
01105,1105,MA,NEWE,,,,,,,
01106,1106,MA,NEWE,,,,,,,
01107,1107,MA,NEWE,,,,,,,
01107,1107,MA,NEWE,,,,,,,
01108,1108,MA,NEWE,,,,,,,
01109,1109,MA,NEWE,,,,,,,
01111,1111,MA,NEWE,,,,,,,
01115,1115,MA,NEWE,,,,,,,
01116,1116,MA,NEWE,,,,,,,
01118,1118,MA,NEWE,,,,,,,
01119,1119,MA,NEWE,,,,,,,
01128,1128,MA,NEWE,,,,,,,
01129,1129,MA,NEWE,,,,,,,
01138,1138,MA,NEWE,,,,,,,
01139,1139,MA,NEWE,,,,,,,
01144,1144,MA,NEWE,,,,,,,
01151,1151,MA,NEWE,,,,,,,
01151,1151,MA,NEWE,,,,,,,
01152,1152,MA,NEWE,,,,,,,
01199,1199,MA,NEWE,,,,,,,
01201,1201,MA,NEWE,,,,,,,
01202,1202,MA,NEWE,,,,,,,
01203,1203,MA,NEWE,,,,,,,
01220,1220,MA,NEWE,,,,,,,
01222,1222,MA,NEWE,,,,,,,
01223,1223,MA,NEWE,,,,,,,
01223,1223,MA,NEWE,,,,,,,
01224,1224,MA,NEWE,,,,,,,
01225,1225,MA,NEWE,,,,,,,
01226,1226,MA,NEWE,,,,,,,
01227,1227,MA,NEWE,,,,,,,
01229,1229,MA,NEWE,,,,,,,
01230,1230,MA,NEWE,,,,,,,
01235,1235,MA,NEWE,,,,,,,
01236,1236,MA,NEWE,,,,,,,
01237,1237,MA,NEWE,,,,,,,
01238,1238,MA,NEWE,,,,,,,
01240,1240,MA,NEWE,,,,,,,
01242,1242,MA,NEWE,,,,,,,
01243,1243,MA,NEWE,,,,,,,
01244,1244,MA,NEWE,,,,,,,
01245,1245,MA,NEWE,,,,,,,
01247,1247,MA,NEWE,,,,,,,
01252,1252,MA,NEWE,,,,,,,
01253,1253,MA,NEWE,,,,,,,
01254,1254,MA,NEWE,,,,,,,
01255,1255,MA,NEWE,,,,,,,
01256,1256,MA,NEWE,,,,,,,
